date,open,high,low,close,volume,average,trades
2022-10-28,143.69,157.5,143.69,155.83,145185770.0,154.61,558080
2022-10-31,155.0,155.66,151.92,153.46,83054673.0,153.28,305310
2022-11-01,153.59,155.66,149.13,150.41,70214280.0,150.97,293010
2022-11-02,150.72,152.17,144.09,144.1,82351237.0,148.186,342929
2022-11-03,144.92,144.92,137.4,137.73,82933014.0,140.111,348436
2022-11-04,138.01,142.67,134.38,138.12,123246960.0,137.368,475488
2022-11-07,138.0,139.56,135.0,139.54,72638838.0,137.497,279286
2022-11-08,139.04,141.43,137.49,139.98,72186006.0,139.568,268319
2022-11-09,140.05,140.05,134.59,135.27,64604947.0,135.973,245186
2022-11-10,134.87,147.59,134.87,147.2,105028222.0,144.279,380184
2022-11-11,148.06,150.0,144.37,149.44,83191680.0,148.24,315840
2022-11-14,149.24,150.28,147.43,148.76,63702944.0,148.714,238423
2022-11-15,149.51,153.59,147.91,149.7,79992151.0,151.237,327304
2022-11-16,150.25,151.23,147.29,148.9,55753589.0,148.638,208500
2022-11-17,148.98,151.48,145.66,150.9,72459610.0,149.733,252307
2022-11-18,150.17,152.7,149.97,150.88,66193745.0,151.197,232068
2022-11-21,150.1,150.79,147.71,148.12,51060515.0,148.477,195098
2022-11-22,147.91,150.42,146.86,150.1,46503994.0,149.213,160883
2022-11-23,149.75,151.83,148.78,151.15,51246310.0,150.81,187401
2022-11-25,151.16,151.16,147.12,148.12,30708158.0,148.156,117063
2022-11-28,147.05,147.74,143.38,144.48,60868542.0,144.78,228132
2022-11-29,145.04,145.68,140.35,141.31,73586721.0,142.037,299207
2022-11-30,143.5,148.72,140.55,148.18,95590126.0,145.162,303601
2022-12-01,148.08,149.14,146.61,147.86,58965241.0,148.072,221379
2022-12-02,148.49,148.57,145.02,147.5,57374333.0,146.898,192555
2022-12-05,148.0,150.92,145.77,146.96,60684383.0,147.638,233778
2022-12-06,147.05,147.61,141.94,143.07,57454753.0,143.777,222518
2022-12-07,142.41,143.37,140.0,140.7,61447240.0,141.152,227828
2022-12-08,141.46,143.52,140.5,142.7,53767213.0,142.521,190684
2022-12-09,143.69,145.57,140.9,141.95,66873828.0,143.237,228495
2022-12-12,142.14,144.55,141.06,144.44,58248092.0,143.101,189787
2022-12-13,144.74,151.0,144.0,145.49,80495085.0,146.548,314602
2022-12-14,145.6,146.66,141.16,143.4,69769708.0,144.196,271691
2022-12-15,142.68,142.73,136.02,136.62,82514950.0,137.617,331726
2022-12-16,136.42,137.65,133.73,134.42,130731311.0,134.973,309326
2022-12-19,136.0,136.0,131.32,132.55,67572193.0,132.463,242838
2022-12-20,132.24,133.25,129.9,133.0,67189909.0,131.864,258836
2022-12-21,133.31,136.81,132.53,135.67,73347379.0,135.307,251946
2022-12-22,135.95,136.0,130.3,131.3,68180222.0,131.883,258662
2022-12-23,131.42,133.4,129.64,131.65,55450327.0,131.169,205844
2022-12-27,132.52,133.24,128.72,129.5,58885825.0,129.945,215878
2022-12-28,130.52,131.03,125.87,126.32,74353141.0,127.593,285778
2022-12-29,126.82,130.49,126.13,129.25,67904091.0,129.499,247146
2022-12-30,129.0,130.05,127.43,129.97,67769053.0,128.819,239794
2023-01-03,130.28,131.46,124.17,125.0,97281324.0,125.71,349770
2023-01-04,125.9,128.66,125.08,126.65,77167352.0,126.643,312745
2023-01-05,127.0,127.88,124.76,125.25,69647164.0,126.082,267655
2023-01-06,125.52,130.29,124.4,129.26,76413896.0,128.228,295147
2023-01-09,129.6,133.41,129.6,129.85,61228985.0,131.615,238578
2023-01-10,130.02,131.27,128.12,130.97,56497440.0,129.822,221243
2023-01-11,130.95,133.51,130.4,133.49,61665208.0,132.337,219125
2023-01-12,134.0,134.66,131.44,133.12,61220728.0,133.169,228065
2023-01-13,133.43,134.92,131.66,134.55,51014217.0,133.702,192625
2023-01-17,134.53,137.29,133.51,135.5,54960732.0,135.773,201632
2023-01-18,136.28,138.61,134.4,134.44,60570872.0,136.327,225753
2023-01-19,134.52,136.25,133.22,135.55,51170866.0,134.972,191690
2023-01-20,135.6,138.18,134.22,138.1,71739053.0,136.408,226268
2023-01-23,138.5,143.32,137.22,141.11,70092205.0,141.235,286920
2023-01-24,141.21,143.41,139.59,141.82,50359980.0,142.168,200003
